scorer,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick,Nick
bodyparts,R,R,U,U,MH,MH,2K,2K,3K,3K,4K,4K,5K,5K,1L,1L,2L,2L,3L,3L,4L,4L,5L,5L,1M,1M,2M,2M,3M,3M,4M,4M,5M,5M,1U,1U,2U,2U,3U,3U,4U,4U,5U,5U,S,S,MP,MP,E,E
coords,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data/ClosedHand_Straight/img017.png,231.67576099789537,162.87559673528062,240.7102048149479,240.0790257173657,196.35929880396284,217.90357271187315,119.9771828961552,190.80024126071567,122.44112211898769,222.0101380832607,135.58213130742772,244.1855910887532,148.72314049586774,264.71841794569076,176.64778502130278,145.62802217545305,54.27213695395508,180.94448436938563,60.842641548175095,201.47731122632314,76.44758995944761,231.86589497459067,95.33779066783015,258.1479133514707,96.98041681638514,139.05751758123307,,,,,,,,,49.34425850829007,143.98539602689806,,,,,,,,,,,,,511.74351932652337,139.05751758123307
labeled-data/ClosedHand_Straight/img022.png,232.49707407217286,163.69690980955812,245.6380832606129,234.32983419742322,186.5035419126328,216.26094656331816,119.1558698218777,187.51498896360562,129.0116267132077,225.2953903803707,138.8673836045377,245.8282172373082,155.29364509008772,265.53973101996826,171.7199065756378,148.09196139828555,53.450823879677586,177.65923207227564,61.66395462245259,203.94125044915563,76.44758995944761,231.86589497459067,95.33779066783015,257.3266002771932,97.80172989066264,142.34276987834306,,,,,,,,,46.880319285457546,143.16408295262056,,,,,,,,,,,,,515.0287716236334,143.16408295262056
labeled-data/ClosedHand_Straight/img052.png,242.3528309635029,163.69690980955812,251.38727478055543,235.15114727170072,185.68222883835531,219.5461988604282,128.1903136389302,193.26418048354816,130.6542528617627,224.4740773060932,143.79526205020275,252.39872183152823,158.57889738719777,271.28892253991074,180.75435039269027,148.9132744725631,55.91476310251008,183.40842359221813,67.4131461423951,208.04781582054318,85.48203377650012,236.79377342025572,103.55092141060516,262.25447872285827,101.08698218777266,139.05751758123307,,,,,,,,,53.450823879677586,144.80670910117556,,,,,,,,,,,,,506.8156408808584,136.59357835840058
labeled-data/ClosedHand_Straight/img062.png,253.02990092911043,171.0887274780556,268.63484934038297,249.11346953441824,215.24949951234535,231.04458190031318,148.72314049586774,203.11993737487813,156.93627123864277,241.7216518659207,166.79202812997275,268.82498331707825,180.75435039269027,293.4643755454033,184.03960268980032,150.5559006211181,79.73284225655763,197.37074585493565,87.12465992505514,223.6527642318157,103.55092141060516,251.57740875725074,119.1558698218777,279.5020532826858,110.12142600482517,149.7345875468406,,,,,,,,,72.3410245880601,168.6247882552231,,,,,,,,,,,,,,
labeled-data/ClosedHand_Straight/img065.png,256.31515322622045,180.12317129510814,276.0266670088805,252.39872183152823,218.53475180945534,235.97246034597822,159.40021046147527,207.22650274626568,156.11495816436528,253.22003490580573,174.1838457984703,275.3954879112983,182.39697654124532,298.3922539910683,179.93303731841277,153.8411529182281,81.37546840511263,200.65599815204564,92.05253837072013,225.2953903803707,110.94273907910267,256.5052872029157,127.36900056465271,281.9659925055183,115.04930445049018,151.3772136953956,,,,,,,,,77.26890303372511,173.5526667008881,,,,,,,,,,,,,511.74351932652337,139.05751758123307
labeled-data/ClosedHand_Straight/img069.png,266.1709101175504,183.40842359221813,287.5250500487655,263.89710487141326,234.96101329500542,238.4363995688107,177.46909809558028,219.5461988604282,181.57566346696777,261.43316564858077,192.2527334325753,285.25124480262826,202.10849032390533,304.14144551101083,202.92980339818283,160.41165751244807,94.51647759355265,206.40518967198818,101.90829526205016,235.15114727170072,120.7984959704327,265.53973101996826,138.8673836045377,291.8217493968483,129.8329397874852,156.30509214106058,,,,,,,,,86.30334685077761,179.30185822083064,,,,,,,,,,,,,515.0287716236334,135.77226528412308
labeled-data/ClosedHand_Straight/img077.png,293.51474201474207,188.19778869778867,302.2757107757109,273.7857142857143,255.1012636012637,259.6333801333801,205.23113373113378,232.67655317655317,205.23113373113378,277.8292383292383,214.66602316602322,300.06862056862053,221.40522990522996,316.24271674271677,226.12267462267468,171.34977184977186,116.27360477360483,218.524219024219,123.68673218673226,250.87241137241136,140.53474903474913,277.1553176553177,158.05668655668663,304.1121446121446,152.66532116532122,170.67585117585116,106.83871533871539,191.56739206739206,,,,,,,109.5343980343981,192.24131274131275,,,,,,,,,,,,,512.5389610389611,137.65373815373817
labeled-data/ClosedHand_Straight/img085.png,301.60179010179013,192.24131274131275,319.7976482976484,273.7857142857143,273.97104247104255,265.0247455247455,213.3181818181819,244.13320463320463,216.68778518778524,285.24236574236573,222.07915057915065,310.17743067743066,232.18796068796078,324.3297648297648,228.1444366444367,176.06721656721658,127.73025623025629,224.5895050895051,131.77378027378032,253.56809406809407,148.6217971217972,283.2206037206037,168.16549666549676,308.15566865566865,158.73060723060732,176.74113724113727,,,,,,,,,116.27360477360483,198.3065988065988,,,,,,,,,,,,,511.8650403650405,136.3058968058968
